Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_9819,275,16,OHV,80.519,47.047,None,2.447,OHV,1,50.319,33.25,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9820,604,22,4-stroke,62.929,62.829,Alternator,1.979,DOHC,2,13.417,26.66,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9821,404,22.5,OHV,73.333,67.733,None,1.915,DOHC,2,37.225,25.66,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9822,118,8.2,V-twin,70.425,64.135,None,2.349,DOHC,2,29.823,25.572,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9823,557,9.1,2-stroke,61.929,69.125,None,0.714,OHV,1,53.319,31.064,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9824,516,22.7,OHV,59.637,65.728,Alternator,1.687,DOHC,1,42.207,21.366,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9825,511,14.5,2-stroke,60.931,69.538,None,0.662,OHV,2,26.62,33.251,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9826,262,8.6,2-stroke,63.634,48.643,12V DC,1.745,Flathead,2,29.607,27.546,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9827,258,15.4,V-twin,78.241,47.634,None,1.98,Flathead,2,24.911,22.268,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9828,668,7.7,V-twin,55.533,64.239,Alternator,2.527,Flathead,2,8.534,28.355,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9829,418,18.8,OHV,68.42,46.736,Alternator,0.522,DOHC,2,44.107,26.866,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9830,585,7.6,OHV,72.051,59.949,Alternator,1.814,DOHC,2,32.121,29.857,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9831,627,12.9,4-stroke,77.52,68.334,None,2.505,Flathead,1,67.325,24.845,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9832,111,23.7,V-twin,84.733,64.732,Alternator,0.983,OHV,1,40.42,19.786,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9833,530,23,OHV,75.031,51.133,None,2.24,OHV,1,12.415,27.463,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9834,361,20.4,V-twin,68.95,46.545,12V DC,2.522,OHV,2,19.427,26.867,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9835,430,10.4,2-stroke,64.326,57.926,None,2.482,OHV,1,24.513,22.537,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9836,208,3.6,2-stroke,65.037,70.639,12V DC,0.501,Flathead,1,29.824,27.356,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9837,399,13.7,4-stroke,72.539,66.825,None,0.828,DOHC,1,11.314,21.065,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9838,337,7.6,OHV,73.529,55.527,12V DC,2.21,OHV,1,49.417,33.975,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9839,529,22,4-stroke,76.233,64.439,Alternator,0.758,DOHC,2,32.517,25.145,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9840,539,21,V-twin,63.635,61.237,None,2.508,DOHC,1,54.117,31.757,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9841,141,7.4,V-twin,84.633,53.543,Alternator,0.707,OHV,1,40.219,29.149,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9842,518,9.7,V-twin,65.826,68.433,Alternator,2.412,OHV,1,41.519,26.756,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9843,568,7.2,OHV,81.533,69.539,12V DC,0.471,Flathead,2,34.919,34.049,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9844,600,11.3,V-twin,58.537,71.139,12V DC,1.284,DOHC,2,21.422,28.945,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9845,430,13.6,V-twin,81.929,66.529,None,2.427,DOHC,1,26.015,21.761,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9846,484,8.2,OHV,66.327,72.236,12V DC,1.636,DOHC,2,33.92,21.855,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9847,691,18.1,2-stroke,70.835,58.735,None,1.825,OHV,2,10.518,32.855,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9848,175,15.2,V-twin,68.035,70.049,None,1.119,Flathead,2,43.315,27.547,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9849,544,22.6,2-stroke,81.231,49.443,12V DC,1.566,DOHC,1,21.216,19.961,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9850,342,23,2-stroke,59.638,45.427,Alternator,2.301,OHV,1,8.613,27.357,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9851,699,21.4,OHV,71.327,74.238,12V DC,0.639,OHV,2,25.619,24.254,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9852,448,3.9,4-stroke,70.551,49.925,None,1.581,DOHC,2,30.121,18.554,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9853,202,11.7,V-twin,67.323,56.729,Alternator,0.962,DOHC,1,47.316,22.354,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9854,199,16.6,OHV,66.026,55.133,Alternator,2.28,OHV,2,14.724,30.366,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9855,398,21.4,4-stroke,63.927,45.232,12V DC,0.715,OHV,1,59.715,22.757,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9856,88,7,V-twin,73.639,57.927,None,2.405,Flathead,2,9.611,34.552,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_9857,686,19.5,2-stroke,70.639,45.729,None,0.462,OHV,2,29.313,28.455,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9858,210,20.4,2-stroke,79.137,53.331,Alternator,0.801,OHV,1,19.519,30.962,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9859,385,6.7,2-stroke,73.53,59.735,12V DC,1.764,OHV,1,63.915,20.857,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9860,172,14.7,4-stroke,66.639,47.427,Alternator,1.81,Flathead,1,60.316,31.162,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9861,675,3.2,2-stroke,68.421,62.531,12V DC,1.285,Flathead,2,13.727,34.355,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9862,234,17.9,4-stroke,77.159,50.138,None,2.509,OHV,2,38.421,23.56,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9863,264,12.2,V-twin,59.815,74.949,None,1.915,Flathead,2,15.418,33.364,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9864,424,4.8,V-twin,66.858,64.623,None,2.338,OHV,1,44.319,19.787,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9865,411,19.4,4-stroke,75.727,51.536,None,0.7,Flathead,2,50.515,27.254,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9866,176,10.1,OHV,62.531,56.527,Alternator,1.481,Flathead,1,36.615,28.664,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9867,89,15,V-twin,57.721,69.635,12V DC,2.378,OHV,2,27.727,22.269,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_9868,531,5.6,2-stroke,65.827,54.828,Alternator,1.239,Flathead,2,21.423,25.743,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9869,286,11.7,2-stroke,76.936,70.545,Alternator,2.413,Flathead,2,57.62,22.27,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9870,171,7.2,OHV,82.522,59.43,12V DC,2.318,OHV,1,17.919,33.175,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9871,666,10.6,V-twin,68.657,49.229,Alternator,1.916,OHV,2,49.023,22.961,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9872,653,9.5,2-stroke,69.327,58.325,Alternator,2.483,Flathead,2,32.011,21.242,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9873,601,10.9,OHV,80.245,57.928,Alternator,0.963,OHV,1,33.311,32.641,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9874,232,16.8,OHV,79.738,45.621,12V DC,2.523,Flathead,1,47.317,24.545,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9875,104,14,4-stroke,72.631,72.534,12V DC,0.701,Flathead,1,57.116,33.047,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9876,156,17.6,OHV,66.859,61.827,12V DC,1.892,DOHC,2,65.515,28.946,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9877,343,9.1,V-twin,83.635,64.733,Alternator,0.795,DOHC,2,31.519,30.175,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9878,92,7.8,V-twin,78.64,55.831,None,1.51,DOHC,2,26.113,29.079,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_9879,194,2.2,V-twin,74.439,60.138,Alternator,1.342,OHV,2,50.821,21.762,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9880,424,6.3,OHV,74.136,54.337,Alternator,1.981,OHV,1,61.917,19.16,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9881,466,11.7,OHV,78.011,50.139,None,1.601,DOHC,2,29.029,22.271,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9882,188,17.5,4-stroke,58.735,56.943,Alternator,1.311,OHV,2,33.921,30.367,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9883,589,10.8,OHV,81.132,70.227,None,1.893,OHV,2,19.824,30.368,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9884,141,7.1,2-stroke,83.927,64.44,None,2.232,Flathead,1,56.309,31.455,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9885,330,5.3,OHV,83.127,60.227,None,2.258,OHV,1,66.806,34.967,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9886,676,2.8,4-stroke,82.523,62.133,Alternator,2.077,OHV,1,35.513,20.647,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9887,683,5.3,2-stroke,74.95,50.233,Alternator,1.089,DOHC,2,41.219,32.062,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9888,189,6.1,2-stroke,65.635,54.829,Alternator,1.811,OHV,2,57.216,21.243,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9889,52,17,V-twin,79.542,74.839,12V DC,1.688,OHV,2,52.213,27.077,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_9890,145,11.5,V-twin,71.857,66.136,None,1.399,DOHC,2,23.621,26.263,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9891,549,14.5,4-stroke,57.643,72.237,12V DC,1.585,DOHC,2,62.115,29.475,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9892,623,9.6,OHV,61.543,59.431,None,0.963,Flathead,2,10.519,18.647,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9893,476,20,OHV,74.951,65.233,Alternator,0.463,Flathead,2,51.815,19.846,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9894,698,11.8,V-twin,59.931,57.929,Alternator,2.059,OHV,1,66.807,20.158,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9895,410,15.9,OHV,59.519,66.643,None,2.379,OHV,1,30.906,23.471,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9896,114,20,2-stroke,78.735,68.335,12V DC,1.113,OHV,1,15.419,29.575,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9897,670,5.5,OHV,67.25,72.049,None,1.849,DOHC,1,60.421,26.06,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9898,184,9.5,2-stroke,69.621,63.427,Alternator,0.759,Flathead,2,66.011,18.853,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9899,524,19.3,V-twin,70.041,57.425,12V DC,1.815,DOHC,1,67.409,23.661,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9900,690,2.2,OHV,56.337,45.233,Alternator,0.697,Flathead,2,22.822,21.148,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9901,687,2.7,V-twin,71.635,74.429,Alternator,1.343,DOHC,1,65.015,33.443,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9902,259,24.5,OHV,81.833,50.541,None,0.905,OHV,2,39.217,28.551,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9903,653,12.2,4-stroke,77.623,46.737,None,1.363,OHV,2,29.825,23.561,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9904,177,15.2,2-stroke,61.636,63.537,Alternator,1.916,Flathead,2,69.215,30.575,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9905,414,23.7,V-twin,60.039,47.333,Alternator,2.133,DOHC,1,25.72,19.161,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9906,657,9.6,OHV,74.137,58.928,Alternator,2.155,Flathead,1,54.517,30.449,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9907,447,3.9,OHV,64.929,57.615,Alternator,1.917,OHV,1,41.917,27.965,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9908,397,12.6,OHV,77.229,58.929,None,0.563,DOHC,1,26.621,31.065,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9909,586,9.9,OHV,80.438,55.943,Alternator,2.362,Flathead,2,21.82,29.965,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9910,238,10.8,4-stroke,63.833,52.223,None,1.917,OHV,1,49.803,21.149,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9911,123,8.9,2-stroke,57.223,59.432,12V DC,1.977,Flathead,1,58.717,31.236,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9912,364,2.3,4-stroke,77.438,48.125,12V DC,0.602,OHV,2,18.719,32.556,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9913,326,19.4,OHV,73.531,57.031,12V DC,1.195,Flathead,2,58.015,25.458,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9914,230,12.8,OHV,81.339,64.24,Alternator,0.752,Flathead,2,18.619,28.147,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9915,179,9.2,OHV,66.137,59.154,None,2.192,OHV,2,54.213,34.659,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9916,209,19.7,2-stroke,60.337,68.733,Alternator,1.283,Flathead,2,19.825,25.962,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9917,385,7.5,V-twin,64.025,66.53,Alternator,2.363,Flathead,1,20.715,28.759,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9918,78,12.2,V-twin,82.724,51.537,12V DC,1.017,OHV,1,18.117,19.373,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_9919,138,24.7,4-stroke,56.941,56.528,12V DC,1.567,DOHC,2,33.507,30.061,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9920,301,3,V-twin,66.531,57.128,Alternator,0.829,DOHC,2,39.715,29.777,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9921,533,10.9,OHV,69.434,72.127,None,1.505,DOHC,2,10.716,20.159,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9922,314,3.7,2-stroke,57.431,72.725,Alternator,2.241,Flathead,1,19.118,25.146,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9923,344,23.3,OHV,56.256,68.025,Alternator,2.484,Flathead,1,57.217,28.76,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9924,595,13.4,OHV,61.243,72.445,Alternator,1.191,OHV,1,10.617,32.174,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9925,112,24.1,2-stroke,82.847,64.241,None,2.032,DOHC,2,61.616,32.557,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9926,556,3.3,V-twin,79.543,48.927,None,1.637,DOHC,2,21.217,21.467,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9927,477,16.2,OHV,64.139,61.238,Alternator,2.193,DOHC,1,51.715,28.947,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9928,473,7.8,2-stroke,60.523,67.621,None,0.492,Flathead,2,22.823,23.76,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9929,583,12.1,2-stroke,80.641,73.143,Alternator,1.982,OHV,1,30.907,26.661,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9930,222,5.8,2-stroke,62.237,66.137,Alternator,1.925,Flathead,1,36.315,27.548,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9931,445,18.8,2-stroke,61.637,54.631,None,0.783,Flathead,1,14.725,22.482,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9932,277,18.2,OHV,70.731,66.733,Alternator,1.689,Flathead,1,21.521,25.459,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9933,484,19.8,V-twin,75.032,60.332,Alternator,0.383,OHV,2,19.329,25.661,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9934,148,7.6,OHV,67.637,71.939,Alternator,0.443,DOHC,1,55.017,32.941,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9935,196,17.8,2-stroke,80.931,47.635,12V DC,1.065,Flathead,1,11.513,23.065,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9936,488,18.7,OHV,75.547,50.339,Alternator,2.218,OHV,1,26.313,30.576,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9937,174,9.7,V-twin,79.237,48.743,12V DC,1.401,DOHC,1,28.207,22.355,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_9938,181,22.1,V-twin,76.937,45.829,12V DC,0.493,Flathead,1,44.709,32.063,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9939,645,7.7,V-twin,79.837,64.441,Alternator,2.197,Flathead,2,15.809,28.262,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9940,304,6.1,4-stroke,67.833,49.154,None,1.994,DOHC,2,52.117,27.549,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9941,442,17.2,V-twin,56.257,65.929,Alternator,1.747,Flathead,1,12.713,28.839,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9942,561,7.4,2-stroke,66.727,73.349,12V DC,1.507,DOHC,1,12.219,20.065,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_9943,349,13.2,2-stroke,82.027,60.835,Alternator,1.309,OHV,1,40.017,20.469,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9944,615,16.3,4-stroke,82.247,60.333,12V DC,0.463,OHV,1,62.713,28.761,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9945,57,22.5,OHV,64.327,68.537,12V DC,0.989,DOHC,2,57.117,23.267,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_9946,156,5.1,2-stroke,69.517,46.441,12V DC,0.523,OHV,2,29.515,18.555,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9947,72,7.9,OHV,69.622,53.129,None,1.746,OHV,2,50.918,22.153,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_9948,462,19.8,V-twin,75.237,60.139,12V DC,1.582,Flathead,2,44.213,24.255,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9949,609,11.6,4-stroke,63.247,51.429,Alternator,2.369,DOHC,2,25.721,21.763,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9950,376,23,OHV,69.623,70.929,None,1.718,Flathead,2,22.015,24.349,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9951,290,7.9,4-stroke,64.449,65.729,None,1.165,DOHC,1,60.222,25.147,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9952,125,2,V-twin,69.435,74.629,12V DC,1.719,Flathead,1,36.411,25.336,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_9953,625,2.5,4-stroke,85.025,54.427,12V DC,2.211,DOHC,1,10.717,26.868,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9954,352,14.6,OHV,58.538,45.341,None,1.569,Flathead,2,8.535,18.36,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9955,627,23.9,OHV,77.521,74.239,Alternator,0.663,OHV,1,55.719,31.237,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9956,524,24.5,OHV,64.222,70.728,12V DC,2.259,OHV,1,40.421,23.856,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9957,259,24.4,2-stroke,77.331,61.133,Alternator,2.033,Flathead,2,42.819,30.963,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_9958,689,6,2-stroke,67.119,57.555,Alternator,0.925,DOHC,1,46.409,18.556,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_9959,338,8.2,4-stroke,65.233,59.155,None,0.757,DOHC,1,68.121,25.337,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_9960,74,21.9,OHV,63.133,68.837,12V DC,2.212,Flathead,2,61.617,34.553,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_9961,261,10.1,2-stroke,76.431,48.525,12V DC,2.103,DOHC,1,68.813,26.869,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9962,333,10.7,2-stroke,59.227,56.027,Alternator,0.653,Flathead,1,64.027,34.763,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9963,529,6.7,OHV,67.913,67.241,12V DC,2.281,Flathead,1,58.227,18.557,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9964,490,19.3,V-twin,84.942,57.823,None,1.415,OHV,1,38.213,22.483,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_9965,665,13,2-stroke,77.727,45.535,12V DC,1.443,OHV,1,25.513,19.256,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_9966,248,7.5,4-stroke,83.835,55.239,12V DC,2.355,Flathead,2,32.715,33.365,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_9967,504,9.2,V-twin,84.943,54.537,None,0.603,DOHC,1,14.809,32.364,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_9968,346,24.5,OHV,55.427,62.241,None,1.349,DOHC,2,62.609,32.365,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
